title,stem,txt,conllu,jsonl,word_count
הידבקות ועיגון של מוטות פלדה לבטון שלב א חלק 1,101 הידבקות ועיגון של מוטות פלדה לבטון שלב א חלק 1,txt\__parsed__\101 הידבקות ועיגון של מוטות פלדה לבטון שלב א חלק 1.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\101 הידבקות ועיגון של מוטות פלדה לבטון שלב א חלק 1.conllu,6405.0
מכניזם הסדיקה של בטון ובטון מזויין שלב א חלק 1,102 מכניזם הסדיקה של בטון ובטון מזויין שלב א חלק 1,txt\__parsed__\102 מכניזם הסדיקה של בטון ובטון מזויין שלב א חלק 1.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\102 מכניזם הסדיקה של בטון ובטון מזויין שלב א חלק 1.conllu,3433.0
הנחיות לתכן קירות טרומים המשולבים בשלד יצוק באתר,103 הנחיות לתכן קירות טרומים המשולבים בשלד יצוק באתר,txt\__parsed__\103 הנחיות לתכן קירות טרומים המשולבים בשלד יצוק באתר.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\103 הנחיות לתכן קירות טרומים המשולבים בשלד יצוק באתר.conllu,2064.0
מכניזם הסדיקה של בטון ובטון מזויין שלב א חלק 2,104 מכניזם הסדיקה של בטון ובטון מזויין שלב א חלק 2,txt\__parsed__\104 מכניזם הסדיקה של בטון ובטון מזויין שלב א חלק 2.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\104 מכניזם הסדיקה של בטון ובטון מזויין שלב א חלק 2.conllu,1547.0
הנחיות ונתונים לניהול ותיקצוב עבודות אחזקה בבנייה,111 הנחיות ונתונים לניהול ותיקצוב עבודות אחזקה בבנייה,txt\__parsed__\111 הנחיות ונתונים לניהול ותיקצוב עבודות אחזקה בבנייה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\111 הנחיות ונתונים לניהול ותיקצוב עבודות אחזקה בבנייה.conllu,4359.0
סקר אגפי אחזקה במוסדות ציבור שונים,112 סקר אגפי אחזקה במוסדות ציבור שונים,txt\__parsed__\112 סקר אגפי אחזקה במוסדות ציבור שונים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\112 סקר אגפי אחזקה במוסדות ציבור שונים.conllu,5741.0
רצפות יצוקות פיתוח ואיפיון רצפות מתפלסות מעצמן,115 רצפות יצוקות פיתוח ואיפיון רצפות מתפלסות מעצמן,txt\__parsed__\115 רצפות יצוקות פיתוח ואיפיון רצפות מתפלסות מעצמן.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\115 רצפות יצוקות פיתוח ואיפיון רצפות מתפלסות מעצמן.conllu,9750.0
רוויזיה של חוקת הבטון תי 466,118 רוויזיה של חוקת הבטון תי 466,txt\__parsed__\118 רוויזיה של חוקת הבטון תי 466.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\118 רוויזיה של חוקת הבטון תי 466.conllu,5960.0
מוספים לבטון כתחליף לעובי כיסוי מוגדל כהגנה בפני קורוזיה,125 מוספים לבטון כתחליף לעובי כיסוי מוגדל כהגנה בפני קורוזיה,txt\__parsed__\125 מוספים לבטון כתחליף לעובי כיסוי מוגדל כהגנה בפני קורוזיה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\125 מוספים לבטון כתחליף לעובי כיסוי מוגדל כהגנה בפני קורוזיה.conllu,10222.0
בדיקת כדאיות השימוש במצנני מדבר מול השימוש במזגני אוויר בעיר אילת,126 בדיקת כדאיות השימוש במצנני מדבר מול השימוש במזגני אוויר בעיר אילת,txt\__parsed__\126 בדיקת כדאיות השימוש במצנני מדבר מול השימוש במזגני אוויר בעיר אילת.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\126 בדיקת כדאיות השימוש במצנני מדבר מול השימוש במזגני אוויר בעיר אילת.conllu,6406.0
תכן מבנים לרעידות אדמה הצעה לתקן,127 תכן מבנים לרעידות אדמה הצעה לתקן,txt\__parsed__\127 תכן מבנים לרעידות אדמה הצעה לתקן.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\127 תכן מבנים לרעידות אדמה הצעה לתקן.conllu,9544.0
קיצור משך הבנייה למגורים חלק א - איתור גורמי עיכוב מרכזיים,131 קיצור משך הבנייה למגורים חלק א - איתור גורמי עיכוב מרכזיים,txt\__parsed__\131 קיצור משך הבנייה למגורים חלק א - איתור גורמי עיכוב מרכזיים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\131 קיצור משך הבנייה למגורים חלק א - איתור גורמי עיכוב מרכזיים.conllu,8294.0
הגורמים המשפיעים על הסדיקה בטיח חוץ (שלב ב'),133 הגורמים המשפיעים על הסדיקה בטיח חוץ (שלב ב'),txt\__parsed__\133 הגורמים המשפיעים על הסדיקה בטיח חוץ (שלב ב').txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\133 הגורמים המשפיעים על הסדיקה בטיח חוץ (שלב ב').conllu,6913.0
שיפור המשיכות של בטונים בעלי חוזק גבוה,148 שיפור המשיכות של בטונים בעלי חוזק גבוה,txt\__parsed__\148 שיפור המשיכות של בטונים בעלי חוזק גבוה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\148 שיפור המשיכות של בטונים בעלי חוזק גבוה.conllu,20723.0
השימוש במערכות בדידות לבקרת רעידות מבנים הנפעלים לעומס דינמי,150 השימוש במערכות בדידות לבקרת רעידות מבנים הנפעלים לעומס דינמי,txt\__parsed__\150 השימוש במערכות בדידות לבקרת רעידות מבנים הנפעלים לעומס דינמי.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\150 השימוש במערכות בדידות לבקרת רעידות מבנים הנפעלים לעומס דינמי.conllu,4601.0
בחינה כלכלית הנדסית של בניינים עם שלד פלדה שלב א,153 בחינה כלכלית הנדסית של בניינים עם שלד פלדה שלב א,txt\__parsed__\153 בחינה כלכלית הנדסית של בניינים עם שלד פלדה שלב א.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\153 בחינה כלכלית הנדסית של בניינים עם שלד פלדה שלב א.conllu,4914.0
פרוייקט הקורוזיה של מוטות זיון בבטון בסביבה ימית המשך מעקב אחר התחלת הקורוזיה של מוטות זיון,157 פרוייקט הקורוזיה של מוטות זיון בבטון בסביבה ימית המשך מעקב אחר התחלת הקורוזיה של מוטות זיון,txt\__parsed__\157 פרוייקט הקורוזיה של מוטות זיון בבטון בסביבה ימית המשך מעקב אחר התחלת הקורוזיה של מוטות זיון.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\157 פרוייקט הקורוזיה של מוטות זיון בבטון בסביבה ימית המשך מעקב אחר התחלת הקורוזיה של מוטות זיון.conllu,2167.0
פרוייקט הקורוזיה של מוטות זיון בבטון בסביבה ימית המשך מעקב אחר התחלת הקורוזיה של מוטות זיון - דוחות 5 ו6,157 פרוייקט הקורוזיה של מוטות זיון בבטון בסביבה ימית המשך מעקב אחר התחלת הקורוזיה של מוטות זיון - דוחות 5 ו6,txt\__parsed__\157 פרוייקט הקורוזיה של מוטות זיון בבטון בסביבה ימית המשך מעקב אחר התחלת הקורוזיה של מוטות זיון - דוחות 5 ו6.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\157 פרוייקט הקורוזיה של מוטות זיון בבטון בסביבה ימית המשך מעקב אחר התחלת הקורוזיה של מוטות זיון - דוחות 5 ו6.conllu,3806.0
התנהגות מחזורית של צמתי קורה עמוד מבטון מזויין מתוקנים באפוקסי,159 התנהגות מחזורית של צמתי קורה עמוד מבטון מזויין מתוקנים באפוקסי,txt\__parsed__\159 התנהגות מחזורית של צמתי קורה עמוד מבטון מזויין מתוקנים באפוקסי.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\159 התנהגות מחזורית של צמתי קורה עמוד מבטון מזויין מתוקנים באפוקסי.conllu,4697.0
זיהוי ואיפיון נזקים במבנים,163 זיהוי ואיפיון נזקים במבנים,txt\__parsed__\163 זיהוי ואיפיון נזקים במבנים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\163 זיהוי ואיפיון נזקים במבנים.conllu,6833.0
חיזוי התפקוד והקיימות של אגרגטי טרצו,168 חיזוי התפקוד והקיימות של אגרגטי טרצו,txt\__parsed__\168 חיזוי התפקוד והקיימות של אגרגטי טרצו.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\168 חיזוי התפקוד והקיימות של אגרגטי טרצו.conllu,4694.0
חומרים צמנטיים משוריינים לבנייה קלה פיקוח וקריטריונים לאיפיון תפקודם לאורך זמן,170 חומרים צמנטיים משוריינים לבנייה קלה פיקוח וקריטריונים לאיפיון תפקודם לאורך זמן,txt\__parsed__\170 חומרים צמנטיים משוריינים לבנייה קלה פיקוח וקריטריונים לאיפיון תפקודם לאורך זמן.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\170 חומרים צמנטיים משוריינים לבנייה קלה פיקוח וקריטריונים לאיפיון תפקודם לאורך זמן.conllu,6115.0
ייצור של בטון מתפלס הנחיות לייצור ולביצוע של משטחים מישוריים,171 ייצור של בטון מתפלס הנחיות לייצור ולביצוע של משטחים מישוריים,txt\__parsed__\171 ייצור של בטון מתפלס הנחיות לייצור ולביצוע של משטחים מישוריים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\171 ייצור של בטון מתפלס הנחיות לייצור ולביצוע של משטחים מישוריים.conllu,2085.0
השוואת שיטת הבדיקה החישובית של ההתנגדות התרמית של קירות בני עם תוצאות מבדיקות מעבדה,172 השוואת שיטת הבדיקה החישובית של ההתנגדות התרמית של קירות בני עם תוצאות מבדיקות מעבדה,txt\__parsed__\172 השוואת שיטת הבדיקה החישובית של ההתנגדות התרמית של קירות בני עם תוצאות מבדיקות מעבדה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\172 השוואת שיטת הבדיקה החישובית של ההתנגדות התרמית של קירות בני עם תוצאות מבדיקות מעבדה.conllu,3067.0
שיפור הפריון באתרי בנייה עי שכלול העגורן,177 שיפור הפריון באתרי בנייה עי שכלול העגורן,txt\__parsed__\177 שיפור הפריון באתרי בנייה עי שכלול העגורן.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\177 שיפור הפריון באתרי בנייה עי שכלול העגורן.conllu,11277.0
מעקב אחרי המצב התרמי בדירות מגורים שניבנות לפי התקן החדש תי 1045,181 מעקב אחרי המצב התרמי בדירות מגורים שניבנות לפי התקן החדש תי 1045,txt\__parsed__\181 מעקב אחרי המצב התרמי בדירות מגורים שניבנות לפי התקן החדש תי 1045.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\181 מעקב אחרי המצב התרמי בדירות מגורים שניבנות לפי התקן החדש תי 1045.conllu,6341.0
"מקלט קבע מתועש מהיר הקמה שלבים א,ב","184 מקלט קבע מתועש מהיר הקמה שלבים א,ב","txt\__parsed__\184 מקלט קבע מתועש מהיר הקמה שלבים א,ב.txt",,"X:\Data\Research Projects\corpus_architecture\processing\jsonl\184 מקלט קבע מתועש מהיר הקמה שלבים א,ב.conllu",4686.0
תהליך תכנון הביצוע ותוצריו שלב א נסיונן של חברות מצויינות,186 תהליך תכנון הביצוע ותוצריו שלב א נסיונן של חברות מצויינות,txt\__parsed__\186 תהליך תכנון הביצוע ותוצריו שלב א נסיונן של חברות מצויינות.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\186 תהליך תכנון הביצוע ותוצריו שלב א נסיונן של חברות מצויינות.conllu,9279.0
איפיון התכונות של עץ לשימושים הנדסיים,188 איפיון התכונות של עץ לשימושים הנדסיים,txt\__parsed__\188 איפיון התכונות של עץ לשימושים הנדסיים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\188 איפיון התכונות של עץ לשימושים הנדסיים.conllu,8469.0
הדמייה של תנועת עשן וחום בבניינים ישראליים,191 הדמייה של תנועת עשן וחום בבניינים ישראליים,txt\__parsed__\191 הדמייה של תנועת עשן וחום בבניינים ישראליים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\191 הדמייה של תנועת עשן וחום בבניינים ישראליים.conllu,13124.0
תחזוקה וחידוש ציפויי קיר חיצוניים של מבנים ישנים שלב ב,192 תחזוקה וחידוש ציפויי קיר חיצוניים של מבנים ישנים שלב ב,txt\__parsed__\192 תחזוקה וחידוש ציפויי קיר חיצוניים של מבנים ישנים שלב ב.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\192 תחזוקה וחידוש ציפויי קיר חיצוניים של מבנים ישנים שלב ב.conllu,7021.0
פיתוח מערכת ממוחשבת לתכנון ותכן של ביניינים שלב א כרך א,194 פיתוח מערכת ממוחשבת לתכנון ותכן של ביניינים שלב א כרך א,txt\__parsed__\194 פיתוח מערכת ממוחשבת לתכנון ותכן של ביניינים שלב א כרך א.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\194 פיתוח מערכת ממוחשבת לתכנון ותכן של ביניינים שלב א כרך א.conllu,16221.0
כמויות ועלויות של הקמת מערכות תשתית עירוניות,196 כמויות ועלויות של הקמת מערכות תשתית עירוניות,txt\__parsed__\196 כמויות ועלויות של הקמת מערכות תשתית עירוניות.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\196 כמויות ועלויות של הקמת מערכות תשתית עירוניות.conllu,2333.0
"פיתוח מערכת ממוחשבת לתכנון ותכן תיפקודי של בניינים שלבים ב,ג","203 פיתוח מערכת ממוחשבת לתכנון ותכן תיפקודי של בניינים שלבים ב,ג","txt\__parsed__\203 פיתוח מערכת ממוחשבת לתכנון ותכן תיפקודי של בניינים שלבים ב,ג.txt",,"X:\Data\Research Projects\corpus_architecture\processing\jsonl\203 פיתוח מערכת ממוחשבת לתכנון ותכן תיפקודי של בניינים שלבים ב,ג.conllu",27182.0
תכונות אקוסטיות של אלמנטים במבנים עם קונסטרוקציות פלדה,204 תכונות אקוסטיות של אלמנטים במבנים עם קונסטרוקציות פלדה,txt\__parsed__\204 תכונות אקוסטיות של אלמנטים במבנים עם קונסטרוקציות פלדה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\204 תכונות אקוסטיות של אלמנטים במבנים עם קונסטרוקציות פלדה.conllu,6177.0
תהליך התכנון של פרוייקטי בנייה חלק א מעורבות בעשיית החלטות התכנון,219 תהליך התכנון של פרוייקטי בנייה חלק א מעורבות בעשיית החלטות התכנון,txt\__parsed__\219 תהליך התכנון של פרוייקטי בנייה חלק א מעורבות בעשיית החלטות התכנון.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\219 תהליך התכנון של פרוייקטי בנייה חלק א מעורבות בעשיית החלטות התכנון.conllu,21469.0
אלמנטי חיבור והקשחה במבני פלדה דוח מס 1 מחבר קורה עמוד ואלכסון,223 אלמנטי חיבור והקשחה במבני פלדה דוח מס 1 מחבר קורה עמוד ואלכסון,txt\__parsed__\223 אלמנטי חיבור והקשחה במבני פלדה דוח מס 1 מחבר קורה עמוד ואלכסון.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\223 אלמנטי חיבור והקשחה במבני פלדה דוח מס 1 מחבר קורה עמוד ואלכסון.conllu,4301.0
תשתית לתקינה בתחום הניהול של עבודות אחזקה שלב א,226 תשתית לתקינה בתחום הניהול של עבודות אחזקה שלב א,txt\__parsed__\226 תשתית לתקינה בתחום הניהול של עבודות אחזקה שלב א.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\226 תשתית לתקינה בתחום הניהול של עבודות אחזקה שלב א.conllu,6491.0
חקר רעש אינסטלצית מים,230 חקר רעש אינסטלצית מים,txt\__parsed__\230 חקר רעש אינסטלצית מים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\230 חקר רעש אינסטלצית מים.conllu,4927.0
תיעוש עבודות אינסטלציה שלב ב',231 תיעוש עבודות אינסטלציה שלב ב',txt\__parsed__\231 תיעוש עבודות אינסטלציה שלב ב'.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\231 תיעוש עבודות אינסטלציה שלב ב'.conllu,6326.0
סקר ובחינה השוואתית של צנרת אינסטלציה סניטרית במבנה מגורים,233 סקר ובחינה השוואתית של צנרת אינסטלציה סניטרית במבנה מגורים,txt\__parsed__\233 סקר ובחינה השוואתית של צנרת אינסטלציה סניטרית במבנה מגורים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\233 סקר ובחינה השוואתית של צנרת אינסטלציה סניטרית במבנה מגורים.conllu,11090.0
בחינת צרכי הכשרת כח אדם בתחום הנדסת מערכות תברואה,237 בחינת צרכי הכשרת כח אדם בתחום הנדסת מערכות תברואה,txt\__parsed__\237 בחינת צרכי הכשרת כח אדם בתחום הנדסת מערכות תברואה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\237 בחינת צרכי הכשרת כח אדם בתחום הנדסת מערכות תברואה.conllu,8305.0
הערכת איכות התפקוד בפועל של מחיצות וחיפויי גבס בבנייני מגורים,238 הערכת איכות התפקוד בפועל של מחיצות וחיפויי גבס בבנייני מגורים,txt\__parsed__\238 הערכת איכות התפקוד בפועל של מחיצות וחיפויי גבס בבנייני מגורים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\238 הערכת איכות התפקוד בפועל של מחיצות וחיפויי גבס בבנייני מגורים.conllu,6910.0
התנהגות מובל תת קרקעי דוח מסכם שלב ב,239 התנהגות מובל תת קרקעי דוח מסכם שלב ב,txt\__parsed__\239 התנהגות מובל תת קרקעי דוח מסכם שלב ב.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\239 התנהגות מובל תת קרקעי דוח מסכם שלב ב.conllu,3761.0
מערכת אוטומטית לתכן ראשוני של מבנה,240 מערכת אוטומטית לתכן ראשוני של מבנה,txt\__parsed__\240 מערכת אוטומטית לתכן ראשוני של מבנה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\240 מערכת אוטומטית לתכן ראשוני של מבנה.conllu,5984.0
התנהגות מבנה מתקרות שטוחות ברעידות אדמה,243 התנהגות מבנה מתקרות שטוחות ברעידות אדמה,txt\__parsed__\243 התנהגות מבנה מתקרות שטוחות ברעידות אדמה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\243 התנהגות מבנה מתקרות שטוחות ברעידות אדמה.conllu,27890.0
מודלים לחיזוי התנהגות לא אלסטית של מבנים לרעידות אדמה,244 מודלים לחיזוי התנהגות לא אלסטית של מבנים לרעידות אדמה,txt\__parsed__\244 מודלים לחיזוי התנהגות לא אלסטית של מבנים לרעידות אדמה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\244 מודלים לחיזוי התנהגות לא אלסטית של מבנים לרעידות אדמה.conllu,12334.0
